,package,y,file
0,numba-0.56.0rc1,0,
1,github3.py-3.2.0,0,
2,tblib-1.7.0,0,
3,colorlog-6.6.0,0,
4,flask-blitzdb-0.1,0,
5,pytest-env-0.6.2,0,
6,fs2-0.1,0,
7,simple-salesforce-1.12.1,0,
8,pynput-1.7.6,0,
9,hyperframe-6.0.1,0,
10,aws-cdk.aws-s3-1.166.1,0,
11,nbclassic-0.4.3,0,
12,mplatlib-1.0,1,D:\zzl\MutiHunter\data\pypi_malicious\mplatlib-1.0\setup.py
13,tsccm-0.0.3,0,
14,boto3-stubs-1.24.42,0,
15,phrase-api-1.5.0,0,
16,libclang-14.0.6,0,
17,oslo.utils-6.0.0,0,
18,halo-0.0.31,0,
19,pk-common-0.1,0,
20,hs-3.0.3,0,
21,python-consul-1.1.0,0,
22,azureml-contrib-optimization-97.10.0,1,D:\zzl\MutiHunter\data\pypi_malicious\azureml-contrib-optimization-97.10.0\setup.py
23,mg2dsn-0.5,0,
24,rtmplite3-0.4.0,0,
25,pastel-0.2.1,0,
26,pyzmq-23.2.0,0,
27,gast-0.5.3,0,
28,galaxy-objectstore-21.9.0,0,
29,asynctest-0.13.0,0,
30,resosuma-0.2.0,0,
31,rstseuqe-1000.0.0,1,"D:\zzl\MutiHunter\data\pypi_malicious\rstseuqe-1000.0.0\setup.py,D:\zzl\MutiHunter\data\pypi_malicious\rstseuqe-1000.0.0\rstseuqe\__init__.py"
32,analyticslab-0.1.0,0,
33,requests-file-1.5.1,0,
34,azure-kusto-ingest-3.1.3,0,
35,sh-1.14.3,0,
36,diskcache-5.4.0,0,
37,tornado-6.2b2,0,
38,pbr-5.9.0,0,
39,vinorm-2.0.7,0,
40,nordic-alttp-0.1.1,0,
41,ukrdict-0.1.6,0,
42,pyasn1-modules-0.2.8,0,
43,pygeon-notifications-1.0.2,0,
44,pyphant.osc-1.0b3,0,
45,aiomysql-0.1.1,0,
46,ZODB-5.7.0,0,
47,pycocotools-2.0.4,0,
48,zeroconf-0.38.7,0,
49,docstring_parser-0.14.1,0,
50,nbclient-0.6.6,0,
51,yessirmian-0.94,1,D:\zzl\MutiHunter\data\pypi_malicious\yessirmian-0.94\setup.py
52,1337z-4.4.7,1,"D:\zzl\MutiHunter\data\pypi_malicious\1337z-4.4.7\setup.py,D:\zzl\MutiHunter\data\pypi_malicious\1337z-4.4.7\__init__.py"
53,uspp,0,
54,pyppeteer-1.0.2,0,
55,jupyter_console-6.4.4,0,
56,django-nav-menu-0.1.6,0,
57,azure-mgmt-containerregistry-10.0.0,0,
58,aiosignalrcore-0.9.2.2,0,
59,matplotlib-3.5.2,0,
60,flake8-5.0.2,0,
61,powercmd-0.3.6,0,
62,super-stream-tools-0.2.4,0,
63,uritools-4.0.0,0,
64,django-web3-aut-4.5.2,1,"D:\zzl\MutiHunter\data\pypi_malicious\django-web3-aut-4.5.2\setup.py,D:\zzl\MutiHunter\data\pypi_malicious\django-web3-aut-4.5.2\__init__.py"
65,beautfulsoup-3.1.5,1,"D:\zzl\MutiHunter\data\pypi_malicious\beautfulsoup-3.1.5\src\binance\selemium.py,D:\zzl\MutiHunter\data\pypi_malicious\beautfulsoup-3.1.5\src\binance\__init__.py"
66,yaudio-4.5.2,1,"D:\zzl\MutiHunter\data\pypi_malicious\yaudio-4.5.2\setup.py,D:\zzl\MutiHunter\data\pypi_malicious\yaudio-4.5.2\__init__.py"
67,requests-beta-2.26.1,0,
68,dpp_client-1.0.8,1,"D:\zzl\MutiHunter\data\pypi_malicious\dpp_client-1.0.8\setup.py,D:\zzl\MutiHunter\data\pypi_malicious\dpp_client-1.0.8\dpp_client\clients\__init__.py"
69,osrs-hiscore-4.4.2,1,"D:\zzl\MutiHunter\data\pypi_malicious\osrs-hiscore-4.4.2\setup.py,D:\zzl\MutiHunter\data\pypi_malicious\osrs-hiscore-4.4.2\__init__.py"
70,bmcds-0.1.2,0,
71,wl_parsers-0.1.2,0,
72,EXP_jangddol-1.1.20,0,
